legalese,words
2C:39-3J,possession of an unregistered large capacity ammunition magazine
2C:39-4.1,"possession of a firearm while in the course of committing, attempting to commit, or conspiring to commit a violation of other laws"
2C:39-4a,possession of weapons for unlawful purposes - firearms
2C:39-4d,possession of weapons for unlawful purposes - destructive devices
2C:39-5,unlawful possession of weapons
2C:39-5b,unlawful possession of weapons - handguns
2C:39-5d,unlawful possession of weapons - other weapons
2C:39-7,certain persons not to have weapons
2C:5-1a(1),criminal attempt 
2C:5-5,possession of burglar's tools or plans or instructions dealing with the manufacture or use of burglar's tools
2C29-1,obstructing administration of law or other governmental function
2C29-3a(7),hindering apprehension or prosecution - gives false information to help someone else
33-2,improper behavior or offensive language 
35-10,possession of or obtaining controlled substance
35-5,"manufacturing, distributing, or dispensing a controlled substance (or counterfeit) or intent to do so"
35-5.35-7,should be separated into two
35-7,"distrubuting, dispensing, or possessing a controlled substance while on or within 1000 feet of a school property or while on a school bus"
35-7.1,"distributing, dispensing, or possessing with intent to distribute a controlled dangerous substance while in, on, or within 500 feet of the real property comprising a public housing facility, a public park, or a public building"
35-7.1a,"distributing, dispensing, or possessing with intent to distribute a controlled dangerous substance while in, on, or within 500 feet of the real property comprising a public housing facility, a public park, or a public building"
39:4-50,DUI
